id,qid1,qid2,question1,question2,is_duplicate
5,11,12,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1
7,15,16,How can I be a good geologist?,What should I do to be a great geologist?,1
11,23,24,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1
12,25,26,What can make Physics easy to learn?,How can you make physics easy to learn?,1
13,27,28,What was your first sexual experience like?,What was your first sexual experience?,1
15,31,32,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1
16,33,34,What does manipulation mean?,What does manipulation means?,1
18,37,38,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1
20,41,42,Why do rockets look white?,Why are rockets and boosters painted white?,1
29,59,60,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1
31,63,64,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1
32,65,66,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1
38,77,78,How do we prepare for UPSC?,How do I prepare for civil service?,1
48,97,98,What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,1
49,99,100,How do I make friends.,How to make friends ?,1
50,101,102,Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,1
51,103,104,"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,1
53,107,108,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,1
58,117,118,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,1
62,125,126,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,1
65,131,132,What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,1
66,133,134,What is the best book ever made?,What is the most important book you have ever read?,1
67,135,136,Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?,1
71,143,144,What is a narcissistic personality disorder?,What is narcissistic personality disorder?,1
72,145,146,How I can speak English fluently?,How can I learn to speak English fluently?,1
